date;time;h;x;y;gs;fv;fa;fw;fet;fit;bv;bc;bw;bwh;t1;t2;t3;soc;ke;jv;jc;jw;jwh
2026-01-17;15:05:54.049;24;32.859704;39.933373;84;42.38;11.71;496.07;47.00;53.61;48.57;16.45;799.08;130.01;32.2;33.8;30.5;78.08;2.36;47.65;14.19;676.27;1232.28
2026-01-17;15:05:55.063;24;32.859745;39.933335;83;42.83;11.66;499.50;46.32;53.54;48.61;16.40;797.11;131.31;32.4;34.3;30.8;78.17;2.33;47.59;14.33;681.79;1235.65
2026-01-17;15:05:56.073;23;32.859789;39.933313;81;42.77;11.89;508.55;46.23;53.97;48.49;16.69;809.27;132.32;32.2;34.0;31.1;77.99;2.35;47.81;14.21;679.30;1239.56
2026-01-17;15:05:57.083;21;32.859810;39.933264;79;42.57;11.71;498.31;45.94;53.03;48.55;16.79;815.34;131.45;32.4;34.3;30.8;77.82;2.33;47.68;14.55;694.01;1243.42
2026-01-17;15:05:58.096;19;32.859795;39.933239;78;42.51;11.66;495.61;46.56;52.59;48.66;16.76;815.71;133.02;32.0;33.9;31.0;77.57;2.31;47.90;14.27;683.39;1247.21
2026-01-17;15:05:59.098;18;32.859787;39.933228;78;42.20;11.47;483.87;46.01;52.57;48.84;16.87;823.71;132.42;32.4;34.2;31.3;77.70;2.31;47.89;14.07;673.75;1245.40
2026-01-17;15:06:00.106;20;32.859758;39.933232;80;42.17;11.31;476.99;46.91;52.01;48.89;17.19;840.22;132.09;32.1;33.8;31.7;77.87;2.33;47.96;14.48;694.51;1246.85
2026-01-17;15:06:01.122;23;32.859793;39.933188;78;41.85;11.39;476.75;46.78;51.90;48.76;16.78;818.19;132.32;32.4;33.3;32.1;78.07;2.31;48.06;14.38;690.94;1250.06
2026-01-17;15:06:02.134;25;32.859749;39.933206;77;42.13;11.62;489.68;46.68;51.39;48.81;16.65;812.70;132.13;31.9;33.5;32.0;78.27;2.28;47.82;14.39;688.34;1254.13
2026-01-17;15:06:03.137;25;32.859759;39.933171;78;41.69;11.55;481.58;46.49;51.61;48.67;16.56;806.14;132.16;32.2;33.0;31.9;78.36;2.25;47.65;14.86;708.01;1253.43
2026-01-17;15:06:04.147;24;32.859711;39.933121;80;41.74;11.76;490.77;47.25;52.53;48.58;16.34;793.65;133.19;32.0;33.2;31.6;78.24;2.29;47.50;15.28;725.72;1252.56
2026-01-17;15:06:05.159;22;32.859713;39.933086;79;42.16;11.95;503.80;47.52;52.90;48.81;15.85;773.62;131.93;31.7;33.1;31.4;78.07;2.26;47.44;15.04;713.61;1249.92
2026-01-17;15:06:06.171;23;32.859737;39.933079;78;42.26;11.85;500.76;48.33;53.67;48.66;16.34;795.21;132.89;31.5;33.4;31.2;77.84;2.28;47.54;15.50;736.95;1248.31
2026-01-17;15:09:14.825;27;32.859651;39.933424;85;42.73;12.19;520.97;44.66;51.69;48.16;15.09;726.60;122.61;32.0;34.2;31.2;77.83;2.44;47.86;13.88;664.34;1249.46
2026-01-17;15:09:15.792;29;32.859687;39.933417;83;42.69;12.25;522.77;44.04;52.22;47.94;14.90;714.35;122.08;32.4;34.3;31.1;77.83;2.39;47.83;13.65;652.61;1251.50
2026-01-17;15:09:16.804;28;32.859649;39.933459;84;42.62;12.30;524.32;44.48;52.92;47.83;14.71;703.59;124.24;32.7;33.9;30.8;77.78;2.41;47.79;13.84;661.63;1248.54
2026-01-17;15:09:17.805;29;32.859644;39.933456;82;42.62;12.49;532.37;45.32;52.79;47.60;15.03;715.50;124.64;32.5;33.5;30.6;77.59;2.45;47.80;13.48;644.31;1248.53
2026-01-17;15:09:18.816;30;32.859616;39.933497;83;42.93;12.48;535.61;44.99;53.53;47.83;15.05;719.82;124.47;32.1;33.8;30.2;77.36;2.49;47.88;13.46;644.27;1245.89
2026-01-17;15:09:19.828;30;32.859637;39.933526;82;43.14;12.56;541.71;45.72;54.03;47.86;15.25;729.62;122.16;31.7;34.2;30.2;77.55;2.46;47.99;13.93;668.38;1241.09
2026-01-17;15:09:20.841;32;32.859640;39.933529;81;43.04;12.46;536.43;45.07;54.73;48.02;15.22;730.88;123.46;31.9;33.9;29.8;77.57;2.47;48.24;14.23;686.24;1246.02
2026-01-17;15:09:21.847;30;32.859639;39.933549;82;43.18;12.50;539.63;45.43;54.42;47.83;14.99;716.97;125.59;31.8;34.0;29.4;77.80;2.48;48.01;14.66;703.95;1245.09
2026-01-17;15:09:22.861;28;32.859631;39.933541;80;43.53;12.57;547.24;46.10;54.11;47.69;14.69;700.85;125.30;31.4;33.7;29.1;77.82;2.50;47.85;14.96;715.99;1245.91
2026-01-17;15:09:23.874;27;32.859596;39.933558;82;43.32;12.79;554.11;45.94;54.37;47.55;14.93;709.87;124.17;30.9;33.7;29.0;78.05;2.48;47.87;15.06;720.81;1241.19
2026-01-17;15:09:24.884;26;32.859586;39.933584;80;43.12;12.71;547.81;45.28;53.45;47.61;15.18;722.81;124.59;30.8;33.2;29.3;77.81;2.50;48.05;15.42;741.06;1245.86
2026-01-17;15:09:25.895;25;32.859617;39.933571;79;43.61;12.75;556.08;45.65;53.17;47.71;15.06;718.41;123.91;31.1;33.2;29.6;77.97;2.52;48.13;15.17;730.13;1248.72
2026-01-17;15:09:26.905;24;32.859603;39.933586;80;44.03;12.67;557.80;46.04;52.30;47.82;14.65;700.41;121.69;31.4;32.8;29.2;78.11;2.54;48.09;15.26;733.79;1248.23
2026-01-17;15:09:27.918;25;32.859583;39.933605;80;43.75;12.59;550.83;45.23;52.93;47.98;14.86;712.85;119.40;31.4;32.4;29.6;78.13;2.56;47.94;15.08;723.07;1244.90
