zaman_ms;hiz_kmh;T_bat_C;T_tank_C;V_bat_V;kalan_enerji_Wh
0;31.05;34;38.1;309.7;44.9999
202;31.77;34;38.1;310.2;44.9998
401;33.10;33.7;38.1;310.6;44.9997
602;34.53;33.6;38.3;311.1;44.9996
803;34.69;33.4;38.2;311.3;44.9995
1007;35.32;33.2;38.0;311.4;44.9994
1204;35.11;33.4;37.7;311.4;44.9993
1405;35.20;33.4;37.9;310.7;44.9992
1605;36.40;33.6;37.9;310.8;44.9991
1807;37.55;33.4;38.2;311.2;44.9990
2007;37.45;33.3;38.4;311.3;44.9989
2206;37.12;33.3;38.8;311.7;44.9988
2406;37.55;33.2;38.9;311.4;44.9987
2608;37.70;33.4;38.9;311.0;44.9986
2810;38.17;33.6;38.8;311.7;44.9985
3011;38.06;33.5;38.6;311.8;44.9984
3212;38.73;33.7;38.3;311.9;44.9983
3411;38.74;33.8;38.0;312.5;44.9982
3610;38.30;33.6;37.8;312.6;44.9981
3813;38.27;33.5;38.1;312.3;44.9980
4011;39.08;33.6;38.5;312.4;44.9979
4211;39.72;33.8;38.8;313.0;44.9977
4412;38.99;34;39.1;313.2;44.9976
4614;39.74;34;39.1;313.9;44.9975
4814;40.40;34.1;39.2;313.6;44.9974
5017;39.62;34.3;39.0;314.3;44.9973
5215;39.29;34.4;39.4;313.8;44.9972
5415;39.81;34.5;39.5;314.2;44.9971
5616;39.48;34.6;39.4;314.8;44.9970
5816;40.31;34.8;39.5;315.4;44.9969
6017;40.70;34.8;39.4;315.7;44.9968
6217;41.41;35;39.7;316.2;44.9967
6418;41.03;34.9;40.0;316.4;44.9966
6619;40.98;34.8;40.0;316.5;44.9965
6819;40.49;34.6;39.9;316.8;44.9964
7021;40.59;34.4;40.2;316.3;44.9963
7221;39.97;34.4;40.5;315.9;44.9962
7422;39.45;34.3;40.2;316.0;44.9961
7623;39.59;34.5;40.2;316.3;44.9960
7824;39.49;34.3;40.4;315.7;44.9959
8024;39.33;34.5;40.2;315.7;44.9958
8224;39.42;34.7;40.4;315.0;44.9957
8426;38.01;34.5;40.4;314.4;44.9956
8626;36.88;34.3;40.8;314.8;44.9955
8827;35.05;34.5;40.6;314.2;44.9954
9026;34.29;34.3;40.5;314.7;44.9953
9230;32.73;34.2;40.8;314.6;44.9952
9431;31.55;34.3;41.1;314.6;44.9951
9628;31.11;34.4;41.3;314.7;44.9950
9829;30.44;34.7;40.9;315.2;44.9949
10030;30.20;34.5;40.7;314.5;44.9948
10231;29.98;34.6;40.7;314.2;44.9947
10431;29.71;34.7;40.6;313.6;44.9946
10630;29.21;34.9;41.0;313.4;44.9945
10832;28.59;34.8;41.4;313.6;44.9944
11031;27.71;34.7;41.6;313.9;44.9943
11232;27.13;34.5;41.3;314.1;44.9942
11432;27.11;34.6;41.6;314.2;44.9941
11636;27.06;34.5;41.6;314.5;44.9940
11834;26.35;34.4;41.3;314.1;44.9939
12039;26.35;34.4;41.3;314.3;44.9938
12244;26.09;34.3;41.2;314.7;44.9937
12439;25.64;34.4;41.1;315.2;44.9936
12640;25.10;34.6;40.8;314.6;44.9935
12840;24.69;34.8;40.6;315.2;44.9934
13040;24.99;35;40.4;315.3;44.9933
13243;24.78;34.8;40.4;314.9;44.9932
13443;24.56;34.7;40.4;314.3;44.9931
13643;24.27;34.8;40.1;314.1;44.9930
13842;23.84;35;40.2;314.8;44.9929
14044;23.59;34.9;39.9;314.8;44.9928
14244;23.93;34.8;40.2;314.9;44.9927
14444;23.38;34.8;40.1;314.8;44.9926
14643;23.55;34.7;40.3;315.0;44.9925
14844;23.82;34.5;40.5;314.8;44.9924
15047;23.65;34.7;40.2;315.4;44.9923
15247;23.64;34.5;40.5;315.3;44.9922
15447;24.01;34.6;40.6;315.4;44.9921
15649;23.48;34.6;40.6;315.8;44.9920
15849;23.35;34.3;40.7;316.0;44.9919
16051;23.75;34.5;41.0;316.0;44.9918
16251;23.91;34.3;40.9;316.4;44.9917
16450;23.95;34.4;40.7;316.2;44.9916
16650;23.90;34.4;40.3;316.1;44.9915
16852;23.64;34.3;40.0;316.8;44.9914
17051;23.95;34.5;40.3;316.2;44.9913
17252;23.79;34.6;40.1;316.0;44.9912
17452;23.43;34.6;40.3;315.7;44.9911
17655;23.00;34.8;39.9;315.3;44.9910
17855;22.56;34.8;39.9;315.8;44.9909
18057;22.80;35;40.1;316.1;44.9908
18258;23.01;34.8;40.3;316.4;44.9907
18496;23.11;35;40.2;316.0;44.9906
18658;22.74;34.8;40.3;315.9;44.9905
18859;22.75;34.7;40.3;316.6;44.9904
19058;22.88;34.5;40.5;316.9;44.9903
19261;22.71;34.5;40.2;316.8;44.9903
19462;22.57;34.5;39.9;317.3;44.9902
19663;22.89;34.4;39.8;317.5;44.9901
19863;22.58;34.3;40.1;317.4;44.9900
20063;22.31;34.5;40.0;317.3;44.9899
