date;time;h;x;y;gs;fv;fa;fw;fet;fit;bv;bc;bw;bwh;t1;t2;t3;soc;ke;jv;jc;jw;jwh;gsmspeed
2026-07-22;03:42:59.296;29;41.016100;28.980500;91;48;9.4;740;25;62;58.1;18.9;697;100.2;30;37;44;85;44.9;57;38.8;2274;50.1;67
2026-07-22;03:43:00.113;65;41.017100;28.981500;76;30.7;24.9;707;38;69;58.5;30.6;1257;100.5;27;45;36;85;45.1;39.8;44.1;2336;50.3;70
2026-07-22;03:43:01.225;68;41.018100;28.982500;85;43.2;7.6;423;29;63;54.4;16.1;559;100.8;38;30;46;84;45.3;50.1;33.6;642;50.4;80
2026-07-22;03:43:02.489;47;41.019100;28.983500;91;35.6;12.5;731;25;71;57.7;25;1189;100.9;29;41;30;85;45.8;36.6;41.5;1989;50.6;28
2026-07-22;03:43:03.183;54;41.020100;28.984500;62;40.8;7.9;695;35;55;45.2;6.2;1454;101.0;36;38;32;84;45.8;44.2;7.8;1059;50.7;39
2026-07-22;03:43:04.321;56;41.021100;28.985500;98;43.9;12.2;439;38;56;55;10.5;1577;101.4;37;37;33;84;46.1;50.5;35.7;1711;50.8;62
2026-07-22;03:43:05.214;23;41.022100;28.986500;94;48.1;7.2;334;33;50;52.4;36.7;1509;101.6;41;41;35;85;45.9;57.4;8.3;607;51.0;54
2026-07-22;03:43:06.288;53;41.023100;28.987500;77;48.1;13.6;748;38;68;45.1;37.9;1546;102.0;37;41;38;84;45.4;36.4;24.8;2494;51.1;36
2026-07-22;03:43:07.366;54;41.024100;28.988500;79;33.7;19.6;766;35;50;48.5;7.5;565;102.5;39;39;49;84;45.2;34.5;40.9;1524;51.2;20
2026-07-22;03:43:08.822;78;41.025100;28.989500;81;48;8.6;372;36;68;51.2;19;1011;102.8;35;46;40;84;45.1;55.3;49;1278;51.3;87
2026-07-22;03:43:09.140;64;41.026100;28.990500;95;47.5;11.7;246;33;68;48.4;6.4;1764;103.3;44;28;30;83;45.0;59.6;7.4;1573;51.4;76
2026-07-22;03:43:10.204;47;41.025100;28.989500;87;42.1;14.6;607;27;50;57.5;11.8;1194;103.6;43;32;32;82;45.0;55.1;25.6;2233;51.5;53
2026-07-22;03:43:11.598;77;41.024100;28.988500;71;36.5;18;560;30;64;41.1;21.6;1637;103.8;32;45;38;82;45.1;30.1;40.3;2464;51.7;74
2026-07-22;03:43:12.488;87;41.023100;28.987500;64;43;9.3;764;27;57;50.2;16.4;1986;104.3;29;28;35;82;45.1;50.8;30.7;541;51.8;89
2026-07-22;03:43:13.373;79;41.022100;28.986500;65;42.2;12.1;387;36;65;45.3;22.9;965;104.8;38;38;46;83;44.8;47.4;17.5;1531;51.9;52
2026-07-22;03:43:14.263;77;41.021100;28.985500;97;32.5;8.3;405;42;73;53.6;17;1566;105.1;25;38;30;83;45.3;39.1;17;1337;52.0;58
2026-07-22;03:43:15.143;62;41.020100;28.984500;87;48.1;23.9;634;40;57;46.4;7.1;1737;105.3;27;41;38;83;45.3;59.8;10.7;1701;52.1;78
2026-07-22;03:43:17.022;25;41.019100;28.983500;76;33.1;20.1;693;43;64;47;14.6;1398;105.5;44;40;41;82;44.8;59.4;28.9;1010;52.1;81
2026-07-22;03:43:17.342;25;41.018100;28.982500;79;49.5;6.4;466;37;61;53.5;13.9;1369;105.8;35;28;44;83;45.1;55.7;30.1;1008;52.3;29
2026-07-22;03:43:18.231;85;41.017100;28.981500;95;43.5;22.2;296;41;69;47;38.2;736;106.0;26;31;47;83;45.5;46.4;40.9;2110;52.4;43
2026-07-22;03:43:19.735;78;41.016100;28.980500;79;37.7;19.9;266;34;56;52;5;823;106.2;35;47;43;82;45.6;45.5;39.2;716;52.5;42
2026-07-22;03:43:20.625;62;41.015100;28.979500;79;39.7;21.2;408;36;66;50.2;37.1;1034;106.4;26;34;40;82;45.7;33.3;35.8;570;52.6;56
2026-07-22;03:43:21.536;49;41.016100;28.980500;74;36;5.1;781;40;59;43.9;12.4;1128;106.7;27;34;38;83;46.1;49.9;10.8;439;52.6;25
2026-07-22;03:43:22.403;65;41.017100;28.981500;60;49.9;14.4;789;42;59;46.7;21.4;711;106.9;28;32;48;82;46.3;47.2;32.7;1876;52.7;68
2026-07-22;03:43:23.286;67;41.018100;28.982500;84;46.7;9.8;272;40;53;40.7;12.3;1867;107.1;44;29;36;82;46.2;40;45.8;678;52.8;86
2026-07-22;03:43:24.175;30;41.019100;28.983500;78;46;19.6;285;31;55;54.9;28.7;1095;107.5;44;30;43;83;46.0;44.4;32.1;352;52.9;35
